sample_id,turbidity_ntu,chlorophyll_a_ugL,data_source,band_400nm,band_410nm,band_420nm,band_430nm,band_440nm,band_450nm,band_460nm,band_470nm,band_480nm,band_490nm,band_500nm,band_510nm,band_520nm,band_530nm,band_540nm,band_550nm,band_560nm,band_570nm,band_580nm,band_590nm,band_600nm,band_610nm,band_620nm,band_630nm,band_640nm,band_650nm,band_660nm,band_670nm,band_680nm,band_690nm,band_700nm,band_710nm,band_720nm,band_730nm,band_740nm,band_750nm,band_760nm,band_770nm,band_780nm,band_790nm,band_800nm,band_810nm,band_820nm,band_830nm,band_840nm,band_850nm,band_860nm,band_870nm,band_880nm,band_890nm,band_900nm
WATER_SMP_0001,9.0,14.05,DEMO DATA - BIO-OPTICAL SIMULATION,0.029368931097314442,0.029393124468712752,0.02926381266084617,0.029142405614940636,0.029593720575710997,0.02950416461057141,0.02960763841777337,0.02943083722733736,0.029401954702310388,0.028716544976797966,0.029003553027889168,0.028338417621102327,0.02851099709643254,0.027228901370101397,0.027441786035985075,0.026404684249703693,0.025514837141498724,0.0248731731179569,0.024176761912052917,0.02360524559005174,0.022795512999739538,0.021588395639435477,0.02084236886779213,0.020554741869077187,0.0194704277773071,0.018111868144187557,0.017062355008703935,0.016314039287485527,0.015924576184921567,0.015014016737996747,0.014667037171959305,0.01331711177444468,0.012711053169143487,0.011488784512899974,0.009994331756911825,0.009661748091118794,0.008030683044126925,0.007263105622402045,0.007132490922144456,0.00678710972272375,0.00642690453680495,0.005271980706458228,0.005258867016379101,0.004485414168312833,0.004041214398676085,0.003986611891005487,0.0035762840210130016,0.0025953719870795613,0.0032256627677084413,0.002935964056821179,0.002096501830041336
WATER_SMP_0002,5.42,13.15,DEMO DATA - BIO-OPTICAL SIMULATION,0.02290674903151723,0.023094014189186857,0.023146271839982593,0.02298599807924697,0.022989785415153126,0.023177536312852888,0.023481527673193087,0.023185022468598205,0.022748275606959707,0.022871823841729932,0.021508581964516216,0.022371894651018846,0.021110827380400217,0.021071727211250994,0.020336266479766007,0.01972209313767195,0.01984720437085167,0.018701572361572688,0.01824832474495621,0.017398101217263064,0.016794673721124278,0.015892208422568728,0.014686909541937373,0.014565121952873196,0.013311773626437285,0.012204510054557275,0.01183432876150636,0.011898173645045284,0.011442146835962801,0.010931109931434892,0.01058699409271168,0.009853423260245677,0.009500355564644139,0.007851776826496201,0.0068910420874213,0.006322915661912751,0.005504455204060194,0.004867601311815771,0.0044509861544517896,0.004089416568466194,0.003732130608775994,0.003623183511579802,0.0031095709458601704,0.003028703279785063,0.0025237850891398333,0.0023331928125622597,0.0014926424248653787,0.002168836806866328,0.001817558400793948,0.0018491008747857133,0.0005319736380811365
WATER_SMP_0003,10.16,10.33,DEMO DATA - BIO-OPTICAL SIMULATION,0.0310073692009658,0.03050387919151094,0.031007200232068304,0.030452818526634153,0.03099670414675255,0.030499985550710047,0.030584164113440906,0.03125013469542524,0.030470055039050134,0.030388102109757502,0.03032163871012884,0.0298874126856543,0.029400909259659266,0.029020488073586204,0.029125129066343878,0.02781822745914829,0.027266705058958493,0.02683382226391054,0.02610667522784865,0.02533523795179931,0.02432696631408055,0.02290591403310705,0.022815303200761763,0.02102649993129845,0.020479451470942787,0.019162091229946252,0.018388168163839903,0.017630339930874726,0.016920470061301183,0.016333303690958197,0.015969699483309327,0.01465812784031991,0.013278798115606075,0.01242942096486544,0.011394001153203662,0.009720789956958211,0.009443375697240916,0.008729272711083756,0.007739135491249865,0.007596022491392248,0.006535778811575886,0.006057224199441874,0.005446394402192931,0.005020286653892059,0.0042408828597760165,0.003726933967949883,0.004259595969070742,0.0031805911109800346,0.002819851166593358,0.0021810266812488724,0.0023703881394468718
WATER_SMP_0004,20.46,22.49,DEMO DATA - BIO-OPTICAL SIMULATION,0.037389640118210596,0.03841271164984272,0.03832778890812922,0.03789238577287347,0.0388157868618732,0.03844096859324594,0.03801838279819088,0.03729620680737446,0.03862205461505532,0.03736290340634601,0.03708512511883845,0.03763618310798519,0.037761498487287166,0.03709241708508871,0.036439348242546646,0.035985427341678415,0.03554224543926316,0.034934498913857207,0.034152597655704435,0.03340171431358365,0.03259526425957162,0.031574050896107216,0.03084653043905637,0.029498036660459914,0.028990438187502056,0.02766782847499662,0.026546186132426243,0.025951059005682172,0.025569390407634743,0.02482027291544794,0.023317495931058037,0.02237681435870767,0.021510043023719182,0.019363482825390153,0.0181096048707859,0.0170329341384455,0.015411078180589975,0.014654682110958786,0.013199746401943917,0.012441450212110813,0.011783915822477991,0.010321870407635207,0.010090711231503768,0.009159254268404155,0.008585406695253149,0.007788905096767498,0.007479754546776211,0.006502334959358812,0.005774122069772628,0.005419931459467813,0.005066672261918359
WATER_SMP_0005,5.02,7.71,DEMO DATA - BIO-OPTICAL SIMULATION,0.021884210070820188,0.02203595824797205,0.021932432206149773,0.022024679511176915,0.021840941191439592,0.02277899556723739,0.02182442768045971,0.021881425561258105,0.02171134608993204,0.021976915775989765,0.021344276911510803,0.021473617591829003,0.020506226237929987,0.020344469765948062,0.019508136179957603,0.019848562894122856,0.018247030803813107,0.01805108133480786,0.017464870033261908,0.016683108623020124,0.015761563549295827,0.015016960297621382,0.014295147953596144,0.013458061038961203,0.013012767202854424,0.012623634931400835,0.011085242406350594,0.01025915284997788,0.010224444457023545,0.01068236828625566,0.00921677208528313,0.009264181623914305,0.00840013530770976,0.006830708162024898,0.006384259434294975,0.006070131212824056,0.004949242879788895,0.0045516107038323,0.004030928262109102,0.0035269214764096133,0.0032920682177021298,0.0028028376233800597,0.002889435617796125,0.002381809253983187,0.002439309766797984,0.001679966836731227,0.002043199174612394,0.0020093374460094663,0.0009932188552420444,0.0015509814703992218,0.0016685795097136401
WATER_SMP_0006,5.02,8.04,DEMO DATA - BIO-OPTICAL SIMULATION,0.02150681615108583,0.02252570952124663,0.022268893034219465,0.0220122043050334,0.022245150486927538,0.022421779323670135,0.022220547146747104,0.022251082867410465,0.02165082509951881,0.021759405449717526,0.02100880589061025,0.02106608509046181,0.020437258386541115,0.020040268872578537,0.020129723406968017,0.019532564873463148,0.018786203641161466,0.017630591004371705,0.017179961603437658,0.016923042439757053,0.01585980586505842,0.01575184290961085,0.014400134509221901,0.013559909066182143,0.012631030992338466,0.012001102619349304,0.011209508871137681,0.010891975763185707,0.010559853288010606,0.009709020353468196,0.009103695885722948,0.008264878312145127,0.008081525719289594,0.006684507292097155,0.005576114713291,0.005701134017850457,0.005811711413354275,0.004611078172094505,0.004457055932890949,0.003855946847521665,0.0034572273773076437,0.003445781558882933,0.0027921637584906503,0.0026930513578546297,0.0024657129048983434,0.0019463353158369356,0.0022415722935506983,0.0017068130756749888,0.0013646361935991014,0.0015997357688714046,0.0010307550192738062
WATER_SMP_0007,21.4,20.93,DEMO DATA - BIO-OPTICAL SIMULATION,0.03820189393372259,0.038321431184350364,0.03875247112198368,0.03864157575435763,0.03853210144480437,0.03879134124017758,0.03893334172971647,0.038615598178229245,0.038342828621964704,0.037794875533711275,0.037672556542258116,0.037656883351569796,0.037272435533849894,0.03705438905443552,0.03672903906646197,0.03641711339937932,0.03572631446914,0.03532461676738935,0.03457042582120192,0.03327185058070413,0.03283744074965032,0.03227309493322143,0.031094254653328372,0.030722015373580748,0.030024550178422656,0.02888427075871234,0.027371542356433413,0.02689010220990089,0.02570463826655158,0.024900897299425764,0.024023966124765907,0.022995858669630994,0.021546448964734663,0.020176307220976162,0.018713940707323677,0.01736204542943868,0.01631689557428749,0.015448464615082298,0.014333880670973381,0.012604852547882305,0.011328849932046487,0.01146522040627087,0.009911570795192694,0.009438731882993634,0.008387848023799615,0.007479008587203705,0.007510074138019701,0.006949618505225609,0.005967907855566619,0.004825566058030219,0.0049421229996240365
WATER_SMP_0008,11.18,12.21,DEMO DATA - BIO-OPTICAL SIMULATION,0.03161067770955887,0.03121205800808142,0.031838011603024276,0.03186746933821892,0.0320938049521932,0.03195987253464601,0.03158925872868878,0.03214778564545969,0.03159671977782917,0.031436930900442354,0.03090914769166552,0.03074139571915939,0.030233898018841226,0.030011032975856864,0.03007807399916227,0.02859276146539176,0.027898902102160464,0.028143316047290215,0.026900795284250198,0.02597022303784212,0.025639900689689958,0.02425754895494913,0.02405796693468746,0.022749220127368856,0.021403216505384223,0.02117558110845817,0.019341289137178978,0.01885396133606126,0.018016865545938406,0.01771416752785841,0.01707010200540672,0.01561363574055562,0.014142225992149222,0.01321435980226808,0.011694614640442776,0.011491030648318938,0.01005036768917293,0.009107090224610735,0.008536367577304362,0.007387890659485726,0.006855525032111927,0.006904909842935778,0.005787218124095822,0.005150109244025846,0.00514389481901295,0.0048943830011482425,0.004345290432281075,0.004052532574955101,0.003181956345202383,0.002666868877989949,0.0032553732557761158
WATER_SMP_0009,4.16,8.42,DEMO DATA - BIO-OPTICAL SIMULATION,0.01956923160720033,0.019734059888922226,0.02031782394057118,0.020159282378656548,0.020161585043839157,0.020662673390673614,0.019761315767989392,0.020124055638639282,0.019702050081383097,0.019551035356453285,0.019659811796726538,0.01902952767044473,0.01866027775872531,0.01838934369646774,0.017476471784837935,0.016805373351193247,0.01617176299349569,0.015285085836620938,0.015848821801250808,0.014231101588160811,0.013805224242791172,0.01308399005739633,0.012547075967886795,0.011986238634907446,0.011292669139450684,0.01017517989504711,0.009682856207582802,0.009344250395215567,0.00889150174537406,0.009232994200671321,0.008550824464606598,0.008002602972544083,0.007138141351957487,0.0064163059566037664,0.005371517863910319,0.004346895859638061,0.004396039324509053,0.0036907194282490416,0.0033785616489426756,0.003394023119934883,0.0032966556929970255,0.002662776241348775,0.00250287303453301,0.002695812455319968,0.002051915226593578,0.0025729120235717497,0.0017915673331389017,0.0009386580619369952,0.0015520715282309125,0.0013126259592371144,0.001469333240661803
WATER_SMP_0010,9.34,10.81,DEMO DATA - BIO-OPTICAL SIMULATION,0.02958882328586545,0.029511569067471762,0.02931575967677895,0.029710836866829765,0.02956630813017278,0.029649584373177034,0.02995397251976059,0.030180569842552078,0.029646094504837364,0.02896052523699779,0.029185702845693263,0.02908411175721243,0.02815357166772508,0.027845648699905502,0.027377592027235942,0.026563767056726903,0.02635999838456054,0.02543805606969108,0.02485473095082306,0.023666842203161197,0.022960534764248492,0.02242713173517916,0.02118322605161272,0.020869799337577127,0.019265302055293053,0.01847252214868979,0.017732524310192194,0.01619346681959509,0.015439335114417611,0.014954039924034138,0.015120042173348608,0.01364155349450431,0.013416481905148648,0.011276398431749851,0.010415006123567539,0.009902216428747255,0.009251632214092812,0.008560862502950344,0.00765245886442903,0.006989306902151635,0.0062933274237988905,0.005822375392201483,0.004935220646587174,0.004403663352129804,0.004231757964586885,0.0037986115826810596,0.0033619252983623222,0.0033844192145099767,0.0031671435741433916,0.0026376516363387174,0.002808635993773579
